"Eps","Title","Writers","Director","Original_AirDate","Description","Season","URL"
"65 - 9","The Sting","Patric M. Verrone","Brian Sheesley","June 1, 2003","The Planet Express crew goes on a mission to collect honey from a hive of space bees, which can kill instantly using their poisonous stings. The crew succeeds in getting the honey but the mission all goes wrong when Fry gets stung.","Season 5","https://futurama.fandom.com/wiki/The_Sting"
"66 - 10","The Farnsworth Parabox","Bill Odenkirk","Ron Hughart","June 8, 2003","Professor Farnsworth forbids the crew to look inside a mysterious box. Leela can't resist taking a peek, discovering the box to be a gateway to a parallel universe.","Season 5","https://futurama.fandom.com/wiki/The_Farnsworth_Parabox"
"67 - 11","Three Hundred Big Boys","Eric Kaplan","Swinton O. Scott III","June 15, 2003","A $300 refund for all taxpayers results in a series of interconnected stories, following the Planet Express crew's endeavors to spend their money. Fry recklessley decides to spend his refund on 100 cups of coffee and Leela plans to swin with a whale known as Mushu. Bender steals a $10,000  Cuban cigar and Zoidberg has some trouble on deciding how to spend his refund.  Kif spends his rebate on gifts for Amy but is devastated when one of them is lost","Season 5","https://futurama.fandom.com/wiki/Three_Hundred_Big_Boys"
"68 - 12","Spanish Fry","Rob Weiner","Peter Avanzino","July 13, 2003","Fry is abducted by aliens, who harvest his nose as an aphrodisiac. The crew traces Fry's missing nose to Lrrr, leader of the Omicronians, who decides that Fry's ""lower horn"" would be a much better aphrodisiac to jump start his stagnant and rocky marriage with Ndnd.","Season 5","https://futurama.fandom.com/wiki/Spanish_Fry"
"69 - 13","Bend Her","Michael Rowe","James Purdum","July 20, 2003","In order to compete in the Fembot's division of the 3004 Olympics and cheat in it, Bender is surgically rebuilt to become a woman. Her trashy and stereotypical behavior catches the eye of Calculon, with whom she develops a strong and confusing celebrity relationship.","Season 5","https://futurama.fandom.com/wiki/Bend_Her"
"70 - 14","Obsoletely Fabulous","Dan Vebber","Dwayne Carey-Hill","July 27, 2003","Bender is incompatible with Professor Farnsworth's new Robot 1-X, but rather than get an upgrade, Bender escapes to a desert island to start his life anew. There, he meets several other outdated robots and receives a downgrade, then leads his new comrades in a rebellion against technology.","Season 5","https://futurama.fandom.com/wiki/Obsoletely_Fabulous"
"71 - 15","Bender Should Not Be Allowed on Television","Lewis Morton","Ron Hughart","August 3, 2003","All My Circuits holds an audition to replace the part of Calculon's son, and Bender lands the part. Soon, Bender's uninhibited behavior proves to be a bad influence on children, and an outraged Bender leads a protest group to get himself banned from the airwaves.","Season 5","https://futurama.fandom.com/wiki/Bender_Should_Not_Be_Allowed_on_Television"
"72 - 16","The Devil's Hands Are Idle Playthings","Ken Keeler","Bret Haaland","August 10, 2003","Desperate to learn how to play the holophonor in order to impress Leela, Fry swaps hands with the Robot Devil. He goes on to become a skilled holophonor player, winning Leela's heart and penning an opera about her life story, but the Robot Devil still has a trick or two up his sleeve.","Season 5","https://futurama.fandom.com/wiki/The_Devil's_Hands_Are_Idle_Playthings"
"1-4, 73 - 76","Bender's Big Score","Ken Keeler, David X. Cohen","Dwayne Carey-Hill","March 23, 2008","Professor Farnsworth foolishly sells Planet Express to a trio of nudist scammers and they take control of Bender with a malicious virus. They find out that Fry has a tattoo of Bender on his butt, which contains a mysterious and forbidden power inside it. The scammers send Bender out to kill Fry and obtain the tattoo while they take the time to scam the rest of the universe. Leela starts a relationship with a man named Lars Filmore, who has a shocking secret lying within him. Hermes loses his head in an accident","Season 6","https://futurama.fandom.com/wiki/Bender's_Big_Score"
"5-8, 77 - 80","The Beast with a Billion Backs","Eric Kaplan, David X. Cohen","Peter Avanzino","October 19, 2008","A month has passed since Bender's actions causes a rip in the universe to open and create an anomaly. The Planet Express Crew works overtime to find out what is lurking behind the anomaly. Fry starts a relationship with a girl named Colleen only to find out that she is already in a polyamorous relationship with several other men. Amy finally marries Kif but their marriage is short lived when Zapp betrays Kif and causes a huge accident which ends up killing him. Fry finds out that the thing lurking behind the anomaly is actually a gigantic being known as Yivo. Yivo quickly takes control of Fry and starts terrorizing the universe. Then the entire population of organic beings abandons Earth and the Robots, including Bender","Season 6","https://futurama.fandom.com/wiki/The_Beast_with_a_Billion_Backs"
"9-12, 81 - 84","Bender's Game","Eric Horsted, David X. Cohen","Dwayne Carey-Hill","April 25, 2009","When the price of Dark Matter suddenly rises to a ridiculous amount, the Planet Express Crew starts rationing fuel and ends up finding Mom's primary source of income. Leela disobeys Farnsworths ration rule to teach a lesson to a couple of lazy guys who insulted the crews ship and Zoidberg tells on Leela. Leela has an electric collar put on her because of anger issues and she starts blaming all of her problems on Zoidberg, bullying him constantly. Bender becomes obsessed with the Dungeons And Dragons game and is sent to an insane asylum. Nibbler is kidnapped by Mom's sons and the crew goes out to rescue him, only to be sent into a mysterious fantasy world.","Season 6","https://futurama.fandom.com/wiki/Bender's_Game"
"13-16, 85 - 88","Into the Wild Green Yonder","Ken Keeler, David X. Cohen","Peter Avanzino","August 30, 2009","The Planet Express Crew visits Mars and finds out that Amy's Dad, Leo Wong is building a mini golf course that threatens the Martian environment. This threat soon expands to the entire universe in which Leo plans to destroy a rare violet dwarf star to make way for a gigantic mini golf course. Leela and Amy protest this and team up with Frida Waterfall and several other girls including Labarbra to form the Ecofeministas, which is a team that focuses on eliminating Leo's genderism on his mini golf courses and stopping him from destroying the violet star. The Ecofeministas start protesting Leo's schemes but their protests all go wrong when they accidentally kill the Earthican Vice President, Agnew. The Ecofeministas soon go on the run from the law and Zapp Brannigan. The problem then goes from bad to worse when Frida is unexpectedly murdered and the Ecofeministas get arrested Meanwhile, Fry gets hit by a strange meteorite and somehow receives the ability to read peoples minds. He joins a cult of people who tell him that the universe is threatened by ""The Dark One"". Fry goes undercover to find out who The Dark One is and finds out that The Dark One is the one responsible for masterminding the scheme to destroy the Violet Star and is collaborating with Leo Wong. Bender has an affair with the Donbot's Wife and his life is threatened when the Donbot finds out that his wife is cheating on him. Farnsworth, Hermes, and Zoidberg try to save Planet Express from closing down permanentley due to a huge drop in profit.","Season 6","https://futurama.fandom.com/wiki/Into_the_Wild_Green_Yonder"
"89 - 1","Rebirth","David X. Cohen","Frank Marino","June 24, 2010","The wormhole transports the Planet Express ship and the Nimbus back to Earth, where both ships crash. Professor Farnsworth sets about regenerating his crew with a soup of adult stem cells.","Season 7","https://futurama.fandom.com/wiki/Rebirth"
"90 - 2","In-A-Gadda-Da-Leela","Carolyn Premish","Dwayne Carey-Hill","June 24, 2010","A rogue death sphere – the V-GINY – heads for Earth, and President Nixon enlists the Planet Express crew in a mission to stop the threat. Leela and Zapp Brannigan fly a stealth fighter to the death sphere in an attempt to incapacitate it, but wind up marooned in a paradisic garden.","Season 7","https://futurama.fandom.com/wiki/In-A-Gadda-Da-Leela"
"91 - 3","Attack of the Killer App","Patric M. Verrone","Stephen Sandoval","July 1, 2010","Fry posts an embarrassing video of Leela on the internet, which instantly becomes popular and humiliates Leela.","Season 7","https://futurama.fandom.com/wiki/Attack_of_the_Killer_App"
"92 - 4","Proposition Infinity","Michael Rowe","Crystal Chesney-Thompson","July 8, 2010","Bender attempts to make robosexual marriage legal, after pursuing a relationship with Amy when Kif breaks up with her due to her flexible flirting with tough guys","Season 7","https://futurama.fandom.com/wiki/Proposition_Infinity"
"93 - 5","The Duh-Vinci Code","Maiya Williams","Raymie Muzquiz","July 15, 2010","The Planet Express crew travels to Rome and discovers things that even Tom Hanks could not discover.","Season 7","https://futurama.fandom.com/wiki/The_Duh-Vinci_Code"
"94 - 6","Lethal Inspection","Eric Horsted","Ray Claffey","July 22, 2010","Bender sets out to beat up his robot inspector after he realizes he has a fatal defect.","Season 7","https://futurama.fandom.com/wiki/Lethal_Inspection"
"95 - 7","The Late Philip J. Fry","Lewis Morton","Peter Avanzino","July 29, 2010","Farnsworth invents a time machine but it only travels to the future with no hope of going back.","Season 7","https://futurama.fandom.com/wiki/The_Late_Philip_J._Fry"
"96 - 8","That Darn Katz!","Josh Weinstein","Frank Marino","Aug 5, 2010","Sentient cats invade Earth and only Amy and Nibbler can stop them.","Season 7","https://futurama.fandom.com/wiki/That_Darn_Katz!"
"97 - 9","A Clockwork Origin","Dan Vebber","Dwayne Carey-Hill","Aug 12, 2010","A planet of robots questions evolution.","Season 7","https://futurama.fandom.com/wiki/A_Clockwork_Origin"
"98 - 10","The Prisoner of Benda","Ken Keeler","Stephen Sandoval","Aug 19, 2010","A device causes mind swapping.","Season 7","https://futurama.fandom.com/wiki/The_Prisoner_of_Benda"
"99 - 11","Lrrreconcilable Ndndifferences","Patric M. Verrone","Crystal Chesney-Thompson","Aug 26, 2010","A failed invasion causes Lrrr to doubt himself and enter a midlife crisis. His wife, Ndnd kicks him out of the house and he moves into the Planet Express Headquarters, where Fry and Leela come up with a plan to bring Lrr and Ndnd back together.","Season 7","https://futurama.fandom.com/wiki/Lrrreconcilable_Ndndifferences"
"100 - 12","The Mutants Are Revolting","Eric Horsted","Raymie Muzquiz","Sept 2, 2010","The mutants attack the surface world after several decades of oppression and mistreatment.","Season 7","https://futurama.fandom.com/wiki/The_Mutants_Are_Revolting"
"101 - 13","The Futurama Holiday Spectacular","Michael Rowe","Ray Claffey","November 21, 2010","holiday special","Season 7","https://futurama.fandom.com/wiki/The_Futurama_Holiday_Spectacular"
"102 - 1","Neutopia","Aaron Ehasz","Josh Weinstein","June 23, 2011","The Planet Express crew is in desperate need of money and start a genderist commercial airline. An alien who does not understand the concept of gender conducts experiments on the crew, changing all their genders by accident.","Season 8","https://futurama.fandom.com/wiki/Neutopia"
"103 - 2","Benderama","J. Stewart Burns","Crystal Chesney-Thompson","June 23, 2011","Bender creates duplicates of himself, who in turn create duplicates of themselves, until they threaten to consume all of the matter on Earth.","Season 8","https://futurama.fandom.com/wiki/Benderama"
"104 - 3","Ghost in the Machines","Patric M. Verrone","Ray Claffey","June 30, 2011","Bender dies and his software takes on a ghostly existence after Fry throws bigoted statements at him and tells him that his life is not worth anything.","Season 8","https://futurama.fandom.com/wiki/Ghost_in_the_Machines"
"105 - 4","Law and Oracle","Edmund Fong","Stephen Sandoval","July 7, 2011","Fed up with his go-nowhere job, Fry quits Planet Express joins the police force.","Season 8","https://futurama.fandom.com/wiki/Law_and_Oracle"
"106 - 5","The Silence of the Clamps","Eric Rogers","Frank Marino","July 14, 2011","Bender goes into witness relocation after testifying against the robot mafia. One of the mafia's members gets a job at Planet Express to locate Bender and Zoidberg does not trust the member.","Season 8","https://futurama.fandom.com/wiki/The_Silence_of_the_Clamps"
"107 - 6","Yo Leela Leela","David X. Cohen","Frank MarinoPeter Avanzino","July 21, 2011","Leela creates a successful new series and becomes a Hollywood bigshot. Unfortunatley, Leela lets her newfound notoriety go to her head.","Season 8","https://futurama.fandom.com/wiki/Yo_Leela_Leela"
"108 - 7","All the Presidents' Heads","TBA","TBA","July 28, 2011","History is altered when the crew travel back in time and mess it all up.","Season 8","https://futurama.fandom.com/wiki/All_the_Presidents'_Heads"
"109 - 8","Möbius Dick","Dan Veeber","TBA","August 4, 2011","Leela hunts a mysterious four-dimensional whale and becomes obsessed with killing it.","Season 8","https://futurama.fandom.com/wiki/Möbius_Dick"
"110 - 9","Fry Am the Egg Man","TBA","TBA","August 11, 2011","Fry nurtures an alien egg out of which hatches a monster.","Season 8","https://futurama.fandom.com/wiki/Fry_Am_the_Egg_Man"
"111 - 10","The Tip of the Zoidberg","TBA","TBA","August 18, 2011","The Planet Express crew betrays Zoidberg and tries to get Farnsworth to fire him but in the process, they learn something shocking and dark about Farnsworth and Zoidberg's pasts.","Season 8","https://futurama.fandom.com/wiki/The_Tip_of_the_Zoidberg"
"112 - 11","Cold Warriors","Dan Veeber","TBA","August 25, 2011","Fry inadvertently reintroduces the common cold to the 31st century, which causes everyone to get it.","Season 8","https://futurama.fandom.com/wiki/Cold_Warriors"
"113 - 12","Overclockwise","Ken Keeler","TBA","September 1, 2011","When Bender increases his processing power, he becomes godlike. Mom sues Cubert and Professor Farnsworth and quickly drains Planet Express of their money supply.","Season 8","https://futurama.fandom.com/wiki/Overclockwise"
"114 - 13","Reincarnation","TBA","TBA","September 8, 2011","An episode featuring 3 different segments, in the same vein as episodes such as ""Anthology of Interest I"" and ""The Futurama Holiday Spectacular"". Each segment showcases a different style of animation. The first segment will be animated in ""a black-and-white Fleischer style"", the second segment drawn in the style of anime, and the third will be in the style of a low-resolution video game. The episode will not be canon and will be the final episode of the sixth season of Futurama.","Season 8","https://futurama.fandom.com/wiki/Reincarnation"
"115 - 1","The Bots and the Bees","Eric Horsted","Stephen Sandoval","June 20, 2012","Planet Express gets a new soda machine named Bev and Bender impregnates her, causing her to give birth to a child named Ben. Bev abandons Ben, leaving Bender to take care of Ben and they create a great father-son relationship together, until Bev comes back and snatches Ben right out of Bender's hands.","Season 9","https://futurama.fandom.com/wiki/The_Bots_and_the_Bees"
"116 - 2","A Farewell to Arms","Josh Weinstein","Raymie Muzquiz","June 20, 2012","An ancient catastrophic disaster hits Earth and its effects are all predicted on an ancient Martian calendar. The Planet Express crew along with Zapp and Kif try to find a way to stop the catastrophe. Leela breaks her leg in an accident","Season 9","https://futurama.fandom.com/wiki/A_Farewell_to_Arms"
"117 - 3","Decision 3012","Patric M. Verrone","Dwayne Carey-Hill","June 27, 2012","The 3012 election is underway and Nixon's head faces a tough opponent named Chris Travers. Leela becomes a campaign secretary for Travers but it soon becomes clear that his origins is not as it seems.","Season 9","https://futurama.fandom.com/wiki/Decision_3012"
"118 - 4","The Thief of Baghead","Dan Vebber","Edmund Fong","July 4, 2012","Bender wants to take a picture of an actor who never reveals his face in public so he joins the paparazzi and becomes obsessed with taking pictures of everyone, including Calculon. Unfortunatley the obsession spirals out of control when Bender shows the picture of the actor to Fry, Hermes, and Amy and gets their life forces sucked out.","Season 9","https://futurama.fandom.com/wiki/The_Thief_of_Baghead"
"119 - 5","Zapp Dingbat","Eric Rogers","Frank Marino","July 11, 2012","Zapp Brannigan loses interest in Leela and he starts a romance with her mom, which upsets Leela greatly. This causes Leela to try to stop this inappropriate romance by swaying Zapp away from her mom. Meanwhile, Leela's dad, who is unaware of his wife new suitor, dreams of surfing the biggest sewer waves on Earth.","Season 9","https://futurama.fandom.com/wiki/Zapp_Dingbat"
"120 - 6","The Butterjunk Effect","Michael Rowe","Crystal Chesney-Thompson","July 18, 2012","Leela and Amy become addicted to the steroid like- performance enhancing drug known as ""Nectar"" to increase their chances of winning at the epic sport of the Butterfly Derby. Meanwhile, Fry gets sprayed with a hormone by a male butterfly and it causes both Leela and Amy to go all over him.","Season 9","https://futurama.fandom.com/wiki/The_Butterjunk_Effect"
"121 - 7","The Six Million Dollar Mon","Ken Keeler","Peter Avanzino","July 25, 2012","Hermes realizes he is less efficient than a machine and gets obsessed with having his body parts replaced by machinery causing him to lose his human emotions rapidly. Meanwhile Zoidberg makes a puppet out of the body parts that Hermes threw away and he goes cross country to fulfill his dream of becoming a ventriloquist.","Season 9","https://futurama.fandom.com/wiki/The_Six_Million_Dollar_Mon"
"122 - 8","Fun on a Bun","Dan Vebber","Stephen Sandoval","August 1, 2012","The Planet Express crew attends Oktoberfest, where Bender enters a sausage making contest. Fry falls victim to a sausage making accident, causing him and Leela to lose their memories of each other.","Season 9","https://futurama.fandom.com/wiki/Fun_on_a_Bun"
"123 - 9","Free Will Hunting","David X. Cohen","Raymie Muzquiz","August 8, 2012","Bender realizes that as a robot, he has no free will so he embarks on a quest to find out his life's true meaning.","Season 9","https://futurama.fandom.com/wiki/Free_Will_Hunting"
"124 - 10","Near-Death Wish","Lance Kramer","Eric Horsted","August 15, 2012","Professor Farnsworth gets very upset after he finds out his parents are still alive on the Near Death Star and are coming out of virtual retirement there and decides to pay them a visit.","Season 9","https://futurama.fandom.com/wiki/Near-Death_Wish"
"125 - 11","31st Century Fox","Patric M. Verrone","Edmund Fong","August 29, 2012","Bender has a manhunt launched on him after he saves a robot fox from being killed by hunters. Leela reluctantly tries to support Bender in pro animal right for robot animals","Season 9","https://futurama.fandom.com/wiki/31st_Century_Fox"
"126 - 12","Viva Mars Vegas","Josh Weinstein","Frank Marino","August 22, 2012","The Planet Express Crew heads to Mars Vegas and must upstage a heist in order to reclaim some property that was stolen by the Robot Mafia while Zoidberg has the time of his life after he gets lucky in gambling and wins a lot of money .","Season 9","https://futurama.fandom.com/wiki/Viva_Mars_Vegas"
"127 - 13","Naturama","Eric Rogers, Michael Saikin, Neil Mukhopadhyay","Crystal Chesney-Thompson","August 29, 2012","The Planet Express crew are reimangined as animals in a nature documentary.","Season 9","https://futurama.fandom.com/wiki/Naturama"
"129 - 1","2-D Blacktop","Michael Rowe","Raymie Muzquiz","June 19, 2013","One of Farnsworths inventions goes haywire after a spaceship race and it puts himself, Fry, Leela, and Bender into an alternate 2-D dimension.","Season 10","https://futurama.fandom.com/wiki/2-D_Blacktop"
"131 - 2","Fry and Leela's Big Fling","Eric Rogers","Edmund Fong","June 19, 2013","Fry and Leela try to fix the cracks in their relationship when they run into Leela's ex-boyfriend, Sean.  Bender, Amy, and Zoidberg deliver a bunch of tires to a company run by monkeys.","Season 10","https://futurama.fandom.com/wiki/Fry_and_Leela's_Big_Fling"
"130 - 3","T.: The Terrestrial","Josh Weinstein","Lance Kramer","June 26, 2013","Fry unexpectedly crash lands on Omicron Persei 8 and is befriended by none other than Lrrr's son, Jrrr, who tries to protect him from his father who wants to experiment on him for unknown reasons.","Season 10","https://futurama.fandom.com/wiki/T.:_The_Terrestrial"
"128 - 4","Forty Percent Leadbelly","Ken Keeler","Stephen Sandoval","July 3, 2013","Bender meets his idol, who is a folksinger who has been arrested and jailed over 30 times.  Unfortunatley, Bender becomes obsessed with imitating that singer's lifestyle and that leads to horrific consequences.","Season 10","https://futurama.fandom.com/wiki/Forty_Percent_Leadbelly"
"132 - 5","The Inhuman Torch","Dan Vebber","Frank Marino","July 10, 2013","Bender becomes a heroic firefighter and ends up running into a conspiracy, which involves people mining helium from the sun because of Farnsworth's technology.","Season 10","https://futurama.fandom.com/wiki/The_Inhuman_Torch"
"133 - 6","Saturday Morning Fun Pit","Patric Verrone","Crystal Chesney-Thompson","July 17, 2013","An episode featuring three different segements, in the same vein as episodes such as ""Anthology of Interest I"", it's sequel ""Anthology of Interest II"", ""The Futurama Holiday Spectacular, ""Reincarnation"" and ""Naturama."" It is a parody of retro cartoons: the three episodes are parodies of Scooby Doo (Bender Boo & the Mystery Crew), Strawberry Shortcake/The Smurfs (Purpleberry Pond) & G.I.Joe (G.I. Zapp).  Like the other three segmented anthologies, this episode is considered non-canon.","Season 10","https://futurama.fandom.com/wiki/Saturday_Morning_Fun_Pit"
"134 - 7","Calculon 2.0","Lewis Morton","Stephen Sandoval","July 24, 2013","After his death in ""The Thief of Baghead"", Calculon is resurrected by downloading a back-up copy of himself into a new body.","Season 10","https://futurama.fandom.com/wiki/Calculon_2.0"
"135 - 8","Assie Come Home","Maiya Williams","Raymie Muzquiz","July 31, 2013","When going on a gang planet, Bender gets bot-jacked. Then Leela, Fry and Bender have to find his body parts.","Season 10","https://futurama.fandom.com/wiki/Assie_Come_Home"
"136 - 9","Leela and the Genestalk","Eric Horsted","Lance Kramer","August 7, 2013","The reason why Turanga Munda is more mutated than her original appearance is explained.","Season 10","https://futurama.fandom.com/wiki/Leela_and_the_Genestalk"
"137 - 10","Game of Tones","Michael Rowe","Edmund Fong","August 14, 2013","Fry gets inside a dream dated in Dec 31st 1999 looking for a mysterious sound that menaces the earth.","Season 10","https://futurama.fandom.com/wiki/Game_of_Tones"
"138 - 11","Murder on the Planet Express","Lewis Morton","Frank Marino","August 21, 2013","A murder happens in the Planet Express Building and the crew tries to find the culprit.","Season 10","https://futurama.fandom.com/wiki/Murder_on_the_Planet_Express"
"139 - 12","Stench and Stenchibility","Eric Horsted","Crystal Chesney-Thompson","August 28, 2013","Zoidberg finally finds love in the form of a beautiful alien who has lost her ability to smell.  However, this love is threatened when Zoidberg must perform a nose transplant on his love and his unique odor could make her leave him.","Season 10","https://futurama.fandom.com/wiki/Stench_and_Stenchibility"
"140 - 13","Meanwhile","Ken Keeler","Peter Avanzino","September 4, 2013","Hubert Farnsworth invents a button that can take a person 10 seconds back in time, inadvertently causing major consequences. This episode is the continuation of ""stench and stenchability"" and stood as the series finale prior to February 2022.
 	 	 		 		 		 			From Meanwhile.. The Last Episode Ever Made....","Season 10","https://futurama.fandom.com/wiki/Meanwhile"
"141 - 1","The Impossible Stream","Patric M. Verrone","Peter Avanzino","July 24, 2023","Fry risks permanent insanity when he attempts to binge-watch every TV show ever made.","Season 11","https://futurama.fandom.com/wiki/The_Impossible_Stream"
"142 - 2","Children of a Lesser Bog","Eric Horsted","Edmund Fong","July 31, 2023","Amy and Kif’s children emerge from an alien swamp.","Season 11","https://futurama.fandom.com/wiki/Children_of_a_Lesser_Bog"
"143 - 3","How the West Was 1010001","Ken Keeler (Credited as ""Nona di Spargement."")","James Kim","August 7, 2023","Bender and the crew head west to join the bitcoin mining rush.","Season 11","https://futurama.fandom.com/wiki/How_the_West_Was_1010001"
"144 - 4","Parasites Regained","Maiya Williams","Corey Barnes","August 14, 2023","After Nibbler falls ill, the crew shrinks down for a dangerous mission into a desert world contained within his litter box.","Season 11","https://futurama.fandom.com/wiki/Parasites_Regained"
"145 - 5","Related to Items You've Viewed","David A. Goodman","Andrew Han","August 21, 2023","Bender uncovers the mysteries of the vast Momazon corporation.","Season 11","https://futurama.fandom.com/wiki/Related_to_Items_You've_Viewed"
"146 - 6","I Know What You Did Next Xmas","Ariel Ladensohn","Crystal Chesney-Thompson","August 28, 2023","Bender and Zoidberg travel through time to attack Robot Santa.","Season 11","https://futurama.fandom.com/wiki/I_Know_What_You_Did_Next_Xmas"
"147 - 7","Rage Against the Vaccine","Cody Ziglar","Edmund Fong","September 4, 2023","A pandemic ravages future Earth.","Season 11","https://futurama.fandom.com/wiki/Rage_Against_the_Vaccine"
"148 - 8","Zapp Gets Cancelled","Shirin Najafi","James Kim","September 11, 2023","When Zapp Brannigan is canceled for crude behavior, Leela takes over as captain of the Nimbus on a critical mission.","Season 11","https://futurama.fandom.com/wiki/Zapp_Gets_Cancelled"
"149 - 9","The Prince and the Product","Ari John Kaplan and Eric Horsted","Corey Barnes","September 18, 2023","The crew members are reborn as toys.","Season 11","https://futurama.fandom.com/wiki/The_Prince_and_the_Product"
"150 - 10","All The Way Down","David X. Cohen","Ira Sherak","September 25, 2023","The crew investigates whether the universe is a simulation.","Season 11","https://futurama.fandom.com/wiki/All_The_Way_Down"
